Id H(cm) W(kg)
1 65.78 112.99 165,1 247,241
2 71.52 136.49 180,34 300,221
3 69.40 153.03 175,26 337,748
4 68.22 142.34 172,72 313,466
5 67.79 144.30 170,18 317,881
6 68.70 123.30 172,72 271,523
7 69.80 141.49 175,26 311,258
8 70.01 136.46 177,8 300,221
9 67.90 112.37 170,18 247,241
10 66.78 120.67 167,64 264,901
11 66.49 127.45 167,64 280,353
12 67.62 114.14 170,18 251,656
13 68.30 125.61 172,72 275,938
14 67.12 122.46 170,18 269,316
15 68.28 116.09 172,72 256,071
16 71.09 140.00 180,34 309,051
17 66.46 129.50 167,64 284,768
18 68.65 142.97 172,72 313,466
19 71.23 137.90 180,34 302,428
20 67.13 124.04 170,18 273,731
21 67.83 141.28 170,18 311,258
22 68.88 143.54 172,72 315,673
23 63.48 97.90 160,02 214,128
24 68.42 129.50 172,72 284,768
25 67.63 141.85 170,18 311,258
26 67.21 129.72 170,18 284,768
27 70.84 142.42 177,8 313,466
28 67.49 131.55 170,18 289,183
29 66.53 108.33 167,64 238,411
30 65.44 113.89 165,1 249,448
31 69.52 103.30 175,26 227,373
32 65.81 120.75 165,1 264,901
33 67.82 125.79 170,18 275,938
34 70.60 136.22 177,8 300,221
35 71.80 140.10 180,34 309,051
36 69.21 128.75 175,26 282,561
37 66.80 141.80 167,64 311,258
38 67.66 121.23 170,18 267,108
39 67.81 131.35 170,18 289,183
40 64.05 106.71 162,56 233,996
41 68.57 124.36 172,72 273,731
42 65.18 124.86 165,1 273,731
43 69.66 139.67 175,26 306,843
44 67.97 137.37 170,18 302,428
45 65.98 106.45 165,1 233,996
46 68.67 128.76 172,72 282,561
47 66.88 145.68 167,64 320,088
48 67.70 116.82 170,18 256,071
49 69.82 143.62 175,26 315,673
50 69.09 134.93 175,26 295,806
51 69.91 147.02 175,26 324,503
52 67.33 126.33 170,18 278,146
53 70.27 125.48 177,8 275,938
54 69.10 115.71 175,26 253,863
55 65.38 123.49 165,1 271,523
56 70.18 147.89 177,8 324,503
57 70.41 155.90 177,8 342,163
58 66.54 128.07 167,64 282,561
59 66.36 119.37 167,64 262,693
60 67.54 133.81 170,18 293,598
61 66.50 128.73 167,64 282,561
62 69.00 137.55 175,26 302,428
63 68.30 129.76 172,72 284,768
64 67.01 128.82 170,18 282,561
65 70.81 135.32 177,8 298,013
66 68.22 109.61 172,72 240,618
67 69.06 142.47 175,26 313,466
68 67.73 132.75 170,18 291,391
69 67.22 103.53 170,18 227,373
70 67.37 124.73 170,18 273,731
71 65.27 129.31 165,1 284,768
72 70.84 134.02 177,8 295,806
73 69.92 140.40 175,26 309,051
74 64.29 102.84 162,56 225,166
75 68.25 128.52 172,72 282,561
76 66.36 120.30 167,64 264,901
77 68.36 138.60 172,72 304,636
78 65.48 132.96 165,1 291,391
79 69.72 115.62 175,26 253,863
80 67.73 122.52 170,18 269,316
81 68.64 134.63 172,72 295,806
82 66.78 121.90 167,64 267,108
83 70.05 155.38 177,8 342,163
84 66.28 128.94 167,64 282,561
85 69.20 129.10 175,26 284,768
86 69.13 139.47 175,26 306,843
87 67.36 140.89 170,18 309,051
88 70.09 131.59 177,8 289,183
89 70.18 121.12 177,8 267,108
90 68.23 131.51 172,72 289,183
91 68.13 136.55 172,72 300,221
92 70.24 141.49 177,8 311,258
93 71.49 140.61 180,34 309,051
94 69.20 112.14 175,26 247,241
95 70.06 133.46 177,8 293,598
96 70.56 131.80 177,8 289,183
97 66.29 120.03 167,64 264,901
98 63.43 123.10 160,02 271,523
99 66.77 128.14 167,64 282,561
100 68.89 115.48 172,72 253,863
101 64.87 102.09 162,56 225,166
102 67.09 130.35 170,18 286,976
103 68.35 134.18 172,72 295,806
104 65.61 98.64 165,1 216,336
105 67.76 114.56 170,18 251,656
106 68.02 123.49 172,72 271,523
107 67.66 123.05 170,18 271,523
108 66.31 126.48 167,64 278,146
109 69.44 128.42 175,26 282,561
110 63.84 127.19 160,02 280,353
111 67.72 122.06 170,18 269,316
112 70.05 127.61 177,8 280,353
113 70.19 131.64 177,8 289,183
114 65.95 111.90 165,1 245,033
115 70.01 122.04 177,8 269,316
116 68.61 128.55 172,72 282,561
117 68.81 132.68 172,72 291,391
118 69.76 136.06 175,26 300,221
119 65.46 115.94 165,1 253,863
120 68.83 136.90 172,72 300,221
121 65.80 119.88 165,1 262,693
122 67.21 109.01 170,18 240,618
123 69.42 128.27 175,26 282,561
124 68.94 135.29 172,72 298,013
125 67.94 106.86 170,18 233,996
126 65.63 123.29 165,1 271,523
127 66.50 109.51 167,64 240,618
128 67.93 119.31 170,18 262,693
129 68.89 140.24 172,72 309,051
130 70.24 133.98 177,8 293,598
131 68.27 132.58 172,72 291,391
132 71.23 130.70 180,34 286,976
133 69.10 115.56 175,26 253,863
134 64.40 123.79 162,56 271,523
135 71.10 128.14 180,34 282,561
136 68.22 135.96 172,72 298,013
137 65.92 116.63 165,1 256,071
138 67.44 126.82 170,18 278,146
139 73.90 151.39 185,42 333,333
140 69.98 130.40 175,26 286,976
141 69.52 136.21 175,26 300,221
142 65.18 113.40 165,1 249,448
143 68.01 125.33 172,72 275,938
144 68.34 127.58 172,72 280,353
145 65.18 107.16 165,1 236,203
146 68.26 116.46 172,72 256,071
147 68.57 133.84 172,72 293,598
148 64.50 112.89 162,56 247,241
149 68.71 130.76 172,72 286,976
150 68.89 137.76 172,72 302,428
151 69.54 125.40 175,26 275,938
152 67.40 138.47 170,18 304,636
153 66.48 120.82 167,64 264,901
154 66.01 140.15 167,64 309,051
155 72.44 136.74 182,88 300,221
156 64.13 106.11 162,56 233,996
157 70.98 158.96 177,8 348,786
158 67.50 108.79 170,18 238,411
159 72.02 138.78 182,88 304,636
160 65.31 115.91 165,1 253,863
161 67.08 146.29 170,18 322,296
162 64.39 109.88 162,56 240,618
163 69.37 139.05 175,26 306,843
164 68.38 119.90 172,72 262,693
165 65.31 128.31 165,1 282,561
166 67.14 127.24 170,18 280,353
167 68.39 115.23 172,72 253,863
168 66.29 124.80 167,64 273,731
169 67.19 126.95 170,18 278,146
170 65.99 111.27 165,1 245,033
171 69.43 122.61 175,26 269,316
172 67.97 124.21 170,18 273,731
173 67.76 124.65 170,18 273,731
174 65.28 119.52 165,1 262,693
175 73.83 139.30 185,42 306,843
176 66.81 104.83 167,64 229,581
177 66.89 123.04 167,64 271,523
178 65.74 118.89 165,1 260,486
179 65.98 121.49 165,1 267,108
180 66.58 119.25 167,64 262,693
181 67.11 135.02 170,18 298,013
182 65.87 116.23 165,1 256,071
183 66.78 109.17 167,64 240,618
184 68.74 124.22 172,72 273,731
185 66.23 141.16 167,64 311,258
186 65.96 129.15 165,1 284,768
187 68.58 127.87 172,72 280,353
188 66.59 120.92 167,64 264,901
189 66.97 127.65 167,64 280,353
190 68.08 101.47 172,72 222,958
191 70.19 144.99 177,8 317,881
192 65.52 110.95 165,1 242,826
193 67.46 132.86 170,18 291,391
194 67.41 146.34 170,18 322,296
195 69.66 145.59 175,26 320,088
196 65.80 120.84 165,1 264,901
197 66.11 115.78 167,64 253,863
198 68.24 128.30 172,72 282,561
199 68.02 127.47 172,72 280,353
200 71.39 127.88  180,34 280,353
